"NextRunTime","Author","ActionExecDirectory","State","UserId","ComputerName","Name","LastRunTime","LastTaskResult","Description","NumberOfMissedRuns","Enabled","Path","ActionExecCommands","Trigger","ActionExecArguments"
"10/13/2018 12:00:19 AM","PELASSET0\administrator",,"Ready","PELASSET0\administrator","DATA12","Civic Complex MaxIce BU","10/12/2018 12:00:19 AM","0",,"0","True","\Civic Complex MaxIce BU","""D:\Civic Complex\MaxdataBU\bu.bat""","System.Xml.XmlElement",
"10/12/2018 10:30:23 PM","PELASSET0\administrator",,"Ready","PELASSET0\administrator","DATA12","Comcash BU","10/11/2018 10:30:23 PM","0",,"0","True","\Comcash BU","D:\PRC\comcashbu.bat","System.Xml.XmlElement",
"10/12/2018 12:48:00 PM","PELASSET0\administrator","C:\Users\administrator.PELASSET0\AppData\Local\GoToMeeting\10793","Ready","PELASSET0\administrator","DATA12","G2MUpdateTask-S-1-5-21-1078081533-2000478354-682003330-500","10/12/2018 11:48:00 AM","0","Keeps GoToMeeting up to date. This task is removed when GoToMeeting is uninstalled.","0","True","\G2MUpdateTask-S-1-5-21-1078081533-2000478354-682003330-500","C:\Users\administrator.PELASSET0\AppData\Local\GoToMeeting\10793\g2mupdate.exe","System.Xml.XmlElement",
"10/12/2018 12:28:00 PM","PELASSET0\administrator","C:\Users\administrator.PELASSET0\AppData\Local\GoToMeeting\10793","Ready","PELASSET0\administrator","DATA12","G2MUploadTask-S-1-5-21-1078081533-2000478354-682003330-500","10/12/2018 10:27:59 AM","0","Uploads diagnostic info previously recorded by GoToMeeting with your consent. This task is removed when GoToMeeting is uninstalled.","1","True","\G2MUploadTask-S-1-5-21-1078081533-2000478354-682003330-500","C:\Users\administrator.PELASSET0\AppData\Local\GoToMeeting\10793\g2mupload.exe","System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\twinapi.dll,-8001)",,"Disabled","S-1-5-21-1078081533-2000478354-682003330-500","DATA12","Optimize Start Menu Cache Files-S-1-5-21-1078081533-2000478354-682003330-500","10/10/2018 10:33:36 PM","0","$(@%SystemRoot%\system32\twinapi.dll,-8002)","0","False","\Optimize Start Menu Cache Files-S-1-5-21-1078081533-2000478354-682003330-500",,"System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\twinapi.dll,-8001)",,"Ready","S-1-5-21-1078081533-2000478354-682003330-6379","DATA12","Optimize Start Menu Cache Files-S-1-5-21-1078081533-2000478354-682003330-6379","9/26/2018 2:41:20 PM","0","$(@%SystemRoot%\system32\twinapi.dll,-8002)","0","True","\Optimize Start Menu Cache Files-S-1-5-21-1078081533-2000478354-682003330-6379",,"System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\twinapi.dll,-8001)",,"Disabled","S-1-5-21-1574012083-4148592524-3533051022-500","DATA12","Optimize Start Menu Cache Files-S-1-5-21-1574012083-4148592524-3533051022-500","9/7/2016 9:23:24 AM","0","$(@%SystemRoot%\system32\twinapi.dll,-8002)","0","False","\Optimize Start Menu Cache Files-S-1-5-21-1574012083-4148592524-3533051022-500",,"System.Xml.XmlElement",
"10/12/2018 9:00:31 PM","PELASSET0\administrator",,"Ready","PELASSET0\administrator","DATA12","Sewer BU","10/11/2018 9:00:31 PM","1",,"0","True","\Sewer BU","D:\Water\users\sewer\BACKUP.BAT","System.Xml.XmlElement",
"10/12/2018 1:04:59 PM","$(@%SystemRoot%\system32\ceipdata.exe,-101)",,"Ready","S-1-5-18","DATA12","ServerCeipAssistant","10/11/2018 1:02:29 PM","0","$(@%SystemRoot%\system32\ceipdata.exe,-103)","0","True","\Microsoft\Windows\Customer Experience Improvement Program\Server\ServerCeipAssistant","%windir%\system32\ceipdata.exe","System.Xml.XmlElement","-id 1"
"12/30/1899 12:00:00 AM",,,"Ready","SYSTEM","DATA12",".NET Framework NGEN v4.0.30319","10/12/2018 7:28:17 AM","0",,"0","True","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319",,"",
"12/30/1899 12:00:00 AM",,,"Ready","SYSTEM","DATA12",".NET Framework NGEN v4.0.30319 64","10/12/2018 7:28:17 AM","0",,"0","True","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64",,"",
"12/30/1899 12:00:00 AM",,,"Disabled","S-1-5-18","DATA12",".NET Framework NGEN v4.0.30319 64 Critical","11/21/2014 11:01:02 PM","0",,"0","False","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical",,"System.Xml.XmlElement",
"12/30/1899 12:00:00 AM",,,"Disabled","S-1-5-18","DATA12",".NET Framework NGEN v4.0.30319 Critical","11/21/2014 11:01:02 PM","0",,"0","False","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical",,"System.Xml.XmlElement",
"10/13/2018 3:54:32 AM","$(@%systemRoot%\System32\msdrm.dll,-6001)",,"Disabled",,"DATA12","AD RMS Rights Policy Template Management (Automated)","12/30/1899 12:00:00 AM","1","$(@%systemRoot%\System32\msdrm.dll,-6002)","0","False","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)",,"System.Object[]",
"12/30/1899 12:00:00 AM","$(@%systemRoot%\System32\msdrm.dll,-6001)",,"Ready",,"DATA12","AD RMS Rights Policy Template Management (Manual)","12/30/1899 12:00:00 AM","1","$(@%systemRoot%\System32\msdrm.dll,-6003)","0","True","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)",,"System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\appidsvc.dll,-301)",,"Disabled","S-1-5-19","DATA12","PolicyConverter","12/30/1899 12:00:00 AM","1","$(@%systemroot%\system32\appidsvc.dll,-302)","0","False","\Microsoft\Windows\AppID\PolicyConverter","%windir%\system32\appidpolicyconverter.exe","",
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\apprepsync.dll,-700)",,"Ready",,"DATA12","SmartScreenSpecific","10/10/2018 4:24:10 AM","0","$(@%systemroot%\system32\apprepsync.dll,-702)","0","True","\Microsoft\Windows\AppID\SmartScreenSpecific",,"System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\appidsvc.dll,-201)",,"Disabled","S-1-5-19","DATA12","VerifiedPublisherCertStoreCheck","12/30/1899 12:00:00 AM","1","$(@%systemroot%\system32\appidsvc.dll,-202)","0","False","\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","%windir%\system32\appidcertstorecheck.exe","System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\aitagent.exe,-701)",,"Ready","S-1-5-18","DATA12","AitAgent","10/12/2018 7:28:17 AM","0","$(@%SystemRoot%\system32\aitagent.exe,-702)","0","True","\Microsoft\Windows\Application Experience\AitAgent","aitagent","","/increment"
"12/30/1899 12:00:00 AM",,,"Ready","S-1-5-18","DATA12","ProgramDataUpdater","10/12/2018 7:28:17 AM","0",,"0","True","\Microsoft\Windows\Application Experience\ProgramDataUpdater","%windir%\system32\CompatTelRunner.exe","","-maintenance"
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\Windows.Storage.ApplicationData.dll,-5002)",,"Ready","S-1-5-18","DATA12","CleanupTemporaryState","10/12/2018 5:26:05 AM","0","$(@%systemroot%\system32\Windows.Storage.ApplicationData.dll,-5003)","0","True","\Microsoft\Windows\ApplicationData\CleanupTemporaryState","%windir%\system32\rundll32.exe","","Windows.Storage.ApplicationData.dll,CleanupTemporaryState"
"12/30/1899 12:00:00 AM",,,"Disabled","S-1-5-18","DATA12","Pre-staged app cleanup","8/3/2015 4:57:48 AM","0",,"0","False","\Microsoft\Windows\AppxDeploymentClient\Pre-staged app cleanup","%windir%\system32\rundll32.exe","System.Xml.XmlElement","%windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask"
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\acproxy.dll,-101)",,"Ready","S-1-5-18","DATA12","Proxy","9/26/2018 6:42:31 PM","0","$(@%systemroot%\system32\acproxy.dll,-102)","0","True","\Microsoft\Windows\Autochk\Proxy","%windir%\system32\rundll32.exe","System.Xml.XmlElement","/d acproxy.dll,PerformAutochkOperations"
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\dimsjob.dll,-101)",,"Ready","S-1-5-18","DATA12","SystemTask","10/12/2018 10:24:02 AM","0","$(@%SystemRoot%\system32\dimsjob.dll,-102)","0","True","\Microsoft\Windows\CertificateServicesClient\SystemTask",,"System.Object[]",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\dimsjob.dll,-101)",,"Ready",,"DATA12","UserTask","10/12/2018 7:30:26 AM","0","$(@%SystemRoot%\system32\dimsjob.dll,-102)","0","True","\Microsoft\Windows\CertificateServicesClient\UserTask",,"System.Object[]",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\dimsjob.dll,-101)",,"Disabled",,"DATA12","UserTask-Roam","12/30/1899 12:00:00 AM","1","$(@%SystemRoot%\system32\dimsjob.dll,-102)","0","False","\Microsoft\Windows\CertificateServicesClient\UserTask-Roam",,"System.Object[]",
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\pstask.dll,-101)",,"Ready","S-1-5-18","DATA12","ProactiveScan","10/12/2018 7:28:17 AM","0","$(@%systemroot%\system32\pstask.dll,-102)","0","True","\Microsoft\Windows\Chkdsk\ProactiveScan",,"",
"10/12/2018 2:00:00 PM","Microsoft Corporation",,"Ready","S-1-5-18","DATA12","Consolidator","10/11/2018 7:00:00 PM","-2147479295","$(@%systemRoot%\system32\wsqmcons.exe,-107)","0","True","\Microsoft\Windows\Customer Experience Improvement Program\Consolidator","%SystemRoot%\System32\wsqmcons.exe","System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\kernelceip.dll,-600)",,"Ready","S-1-5-19","DATA12","KernelCeipTask","10/10/2018 4:24:10 AM","0","$(@%SystemRoot%\system32\kernelceip.dll,-602)","0","True","\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask",,"",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\usbceip.dll,-600)",,"Ready",,"DATA12","UsbCeip","10/8/2018 3:48:38 AM","0","$(@%SystemRoot%\system32\usbceip.dll,-602)","0","True","\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip",,"",
"11/1/2018 7:15:07 PM","$(@%systemroot%\system32\discan.dll,-600)",,"Ready","S-1-5-18","DATA12","Data Integrity Scan","10/1/2018 12:40:56 AM","0","$(@%systemroot%\system32\discan.dll,-602)","0","True","\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan",,"System.Object[]",
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\discan.dll,-600)",,"Ready","S-1-5-18","DATA12","Data Integrity Scan for Crash Recovery","12/30/1899 12:00:00 AM","1","$(@%systemroot%\system32\discan.dll,-603)","0","True","\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery",,"System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%systemroot%\system32\defragsvc.dll,-801)",,"Ready","S-1-5-18","DATA12","ScheduledDefrag","10/11/2018 2:04:04 AM","0","$(@%systemroot%\system32\defragsvc.dll,-802)","0","True","\Microsoft\Windows\Defrag\ScheduledDefrag","%windir%\system32\defrag.exe","","-c -h -k -g -$"
"12/30/1899 12:00:00 AM","Microsoft Corporation",,"Ready",,"DATA12","Metadata Refresh","10/3/2018 5:10:46 AM","0","Performs a device metadata refresh on a periodic basis","0","True","\Microsoft\Windows\Device Setup\Metadata Refresh",,"",
"12/30/1899 12:00:00 AM",,,"Disabled","S-1-5-19","DATA12","SQM data sender","12/30/1899 12:00:00 AM","1",,"0","False","\Microsoft\Windows\IME\SQM data sender",,"System.Xml.XmlElement",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\MemoryDiagnostic.dll,-600)",,"Disabled",,"DATA12","ProcessMemoryDiagnosticEvents","12/30/1899 12:00:00 AM","1","$(@%SystemRoot%\system32\MemoryDiagnostic.dll,-603)","0","False","\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents",,"System.Object[]",
"12/30/1899 12:00:00 AM","$(@%SystemRoot%\system32\MemoryDiagnostic.dll,-600)",,"Disabled",,"DATA12","RunFullMemoryDiagnostic","12/30/1899 12:00:00 AM","1","$(@%SystemRoot%\system32\MemoryDiagnostic.dll,-602)","0","False","\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic",,"",
"12/30/1899 12:00:00 AM","$(@%systemRoot%\System32\lpremove.exe,-100)",,"Ready","S-1-5-18","DATA12","LPRemove","10/12/2018 7:36:07 AM","0","$(@%systemRoot%\System32\lpremove.exe,-101)","0","True","\Microsoft\Windows\MUI\LPRemove","%windir%\system32\lpremove.exe","",
"12/30/1899 12:00:00 AM",,,"Disabled",,"DATA12","SystemSoundsService","12/30/1899 12:00:00 AM","1","$(@%systemRoot%\System32\PlaySndSrv.Dll,-105)","0","False","\Microsoft\Windows\Multimedia\SystemSoundsService",,"",
